title,info,price
WooCommerce Bookings,Allow customers to book appointments for services without leaving your site.,$249.00
Product Add-Ons,Give your customers the option to customize their purchase or add personalization.,$49.00
WooCommerce Subscriptions,Let customers subscribe to your products or services and pay on a weekly  monthly or annual basis. ,$199.00
Stripe,Accept Visa  MasterCard  American Express  Discover  JCB  and Diners Club cards directly on your store.,Free!
Amazon Pay,Amazon Pay is embedded in your WooCommerce store. Transactions take place via Amazon widgets  so the buyer never leaves your site.,Free!
Product Add-Ons,Give your customers the option to customize their purchase or add personalization.,$49.00
WooCommerce Subscriptions,Let customers subscribe to your products or services and pay on a weekly  monthly or annual basis. ,$199.00
PayFast Payment Gateway,Take payments on your WooCommerce store via PayFast (redirect method).,Free!
USPS Shipping Method,Get shipping rates from the USPS API which handles both domestic and international parcels.,$79.00
Authorize.Net AIM,Take credit card payments direct on your checkout using the Authorize.net (AIM) payment gateway for WooCommerce.,$79.00
ShipStation Integration,Fulfill all your Woo orders (and wherever else you sell) quickly and easily using ShipStation  the #1 choice for online retailers. Try it free for 30 days today!,Free!
Order/Customer CSV Export,Export orders and customers from WooCommerce to a CSV file with ease.,$79.00
UPS Shipping Method,Get shipping rates from the UPS API which handles both domestic and international parcels.,$79.00
Table Rate Shipping,Advanced  flexible shipping. Define multiple shipping rates based on location  price  weight  shipping class or item count.,$99.00
Product Bundles,Create and offer highly configurable product bundles  kits and assemblies that consist of simple and variable items.,$49.00
WooCommerce Bookings,Allow customers to book appointments for services without leaving your site.,$249.00
Stripe,Accept Visa  MasterCard  American Express  Discover  JCB  and Diners Club cards directly on your store.,Free!
WooCommerce Subscriptions,Let customers subscribe to your products or services and pay on a weekly  monthly or annual basis. ,$199.00
Authorize.Net AIM,Take credit card payments direct on your checkout using the Authorize.net (AIM) payment gateway for WooCommerce.,$79.00
UPS Shipping Method,Get shipping rates from the UPS API which handles both domestic and international parcels.,$79.00
WooCommerce Subscriptions,Let customers subscribe to your products or services and pay on a weekly  monthly or annual basis. ,$199.00
Product Add-Ons,Give your customers the option to customize their purchase or add personalization.,$49.00
USPS Shipping Method,Get shipping rates from the USPS API which handles both domestic and international parcels.,$79.00
Order/Customer CSV Export,Export orders and customers from WooCommerce to a CSV file with ease.,$79.00
